"id","band","description","band_number"
"TMP_srf","x5","surface Temp. [K]",5
"DLWRF","x11","surface Downward long wave flux [W/m^2]",11
"DSWRF","x16","surface Downward short wave flux [W/m^2]",16
"PRATE","x31","surface Precipitation rate [kg/m^2/s]",31
"UGRD","x36","10 m above ground u wind [m/s]",36
"VGRD","x37","10 m above ground v wind [m/s]",37
"TMP_2m","x38","2 m above ground Temp. [K]",38
"SPFH","x39","2 m above ground Specific humidity [kg/kg]",39
"PRES","x40","surface Pressure [Pa]",40
"TMAX","x41","2 m above ground  Max temp. [K]",41
"TMIN","x42","2 m above ground Min. temp. [K]",42
"PEVPR","x46","surface Potential evaporation rate [W/m^2]",46
"PWAT","x51","atmos column Precipitable water [kg/m^2]",51
"TCDCclm","x53","atmos column Total cloud cover [%]",53
"SNOD","x65","surface Snow depth [m]",65
"VEG","x68","surface Vegetation [%]",68
"VGTYP","x69","surface Vegetation type (as in SiB) [0..13]",69
"EVBS","x83","surface Direct evaporation from bare soil [W/m^2]",83
"EVCW","x84","surface Canopy water evaporation [W/m^2]",84
"TRANS","x85","surface Transpiration [W/m^2]",85
"SNOWC","x87","surface Snow cover [%]",87
"SOILW0_10cm","x6","0-10 cm underground Volumetric soil moisture [fraction]",6
"SOILW10_40cm","x7","10-40 cm underground Volumetric soil moisture [fraction]",7
"SOILW40_100cm","x57","40-100 cm underground Volumetric soil moisture [fraction]",57
"SOILW100_200cm","x58","100-200 cm underground Volumetric soil moisture [fraction]",58
